WeedID,Block_ID,Common Name,Scientific Name,Count
10075585,Block 5,Bermudagrass,Lamium amplexicaule,400
10008214,Block 1,Bindweed,Ambrosia artemisiifolia,428
10036536,Block 3,Chickweed,Asclepias syriaca,221
10020013,Block 4,Goosegrass,Eleusine indica,87
10041839,Block 3,Bermudagrass,Amaranthus retroflexus,435
10052575,Block 4,Milkweed,Digitaria sanguinalis,385
10071207,Block 1,Nutsedge,Lamium amplexicaule,7
10024190,Block 1,Quackgrass,Lamium amplexicaule,499
10051953,Block 5,Ragweed,Plantago major,155
10041002,Block 3,Clover,Stellaria media,356
10086458,Block 5,Milkweed,Cirsium arvense,435
10052597,Block 2,Milkweed,Taraxacum officinale,439
10006520,Block 1,Bindweed,Eleusine indica,315
10057631,Block 3,Milkweed,Convolvulus arvensis,404
10087314,Block 4,Chickweed,Centaurea stoebe,6
10056518,Block 4,Foxtail,Lamium amplexicaule,377
10058141,Block 1,Ragweed,Taraxacum officinale,261
10035016,Block 3,Groundsel,Cynodon dactylon,184
10042273,Block 5,Bindweed,Convolvulus arvensis,470
10090879,Block 1,Henbit,Taraxacum officinale,181
10083777,Block 3,Quackgrass,Chenopodium album,64
10005491,Block 4,Ragweed,Senecio vulgaris,78
10096290,Block 1,Clover,Ambrosia artemisiifolia,464
10058698,Block 5,Clover,Lamium amplexicaule,457
10042357,Block 2,Chickweed,Ambrosia artemisiifolia,54
10086551,Block 3,Foxtail,Plantago major,175
10093021,Block 5,Groundsel,Convolvulus arvensis,126
10056439,Block 5,Knapweed,Cirsium arvense,161
10070414,Block 2,Bermudagrass,Cynodon dactylon,274
10035448,Block 3,Pigweed,Setaria faberi,494
10030686,Block 3,Crabgrass,Ambrosia artemisiifolia,363
10027392,Block 2,Foxtail,Cirsium arvense,394
10011871,Block 5,Pigweed,Convolvulus arvensis,399
10085462,Block 3,Foxtail,Digitaria sanguinalis,66
10054609,Block 2,Bermudagrass,Digitaria sanguinalis,63
10095802,Block 4,Thistle,Lamium amplexicaule,384
10062757,Block 5,Lambsquarters,Taraxacum officinale,117
10088091,Block 1,Thistle,Stellaria media,100
10056364,Block 3,Bermudagrass,Digitaria sanguinalis,389
10057539,Block 4,Clover,Stellaria media,8
10032558,Block 5,Nutsedge,Convolvulus arvensis,191
10067418,Block 5,Foxtail,Taraxacum officinale,268
10028343,Block 1,Crabgrass,Plantago major,461
10020908,Block 4,Thistle,Cirsium arvense,190
10013315,Block 2,Bindweed,Centaurea stoebe,133
10030403,Block 1,Milkweed,Trifolium repens,434
10049053,Block 2,Dock,Cyperus esculentus,205
10032389,Block 2,Plantain,Rumex crispus,259
10056198,Block 2,Groundsel,Plantago major,449
10037892,Block 3,Chickweed,Trifolium repens,422
10002791,Block 2,Pigweed,Cyperus esculentus,261
10016208,Block 1,Foxtail,Trifolium repens,162
10014733,Block 4,Henbit,Plantago major,368
10096848,Block 3,Ragweed,Taraxacum officinale,425
10085473,Block 5,Groundsel,Taraxacum officinale,200
10016185,Block 2,Crabgrass,Senecio vulgaris,337
10089287,Block 2,Lambsquarters,Amaranthus retroflexus,405
10042206,Block 5,Nutsedge,Plantago major,197
10060004,Block 3,Thistle,Stellaria media,312
10026937,Block 1,Plantain,Trifolium repens,146
10088519,Block 1,Plantain,Trifolium repens,88
10078156,Block 4,Crabgrass,Setaria faberi,451
10056466,Block 4,Crabgrass,Plantago major,411
10000920,Block 3,Pigweed,Lamium amplexicaule,349
10049281,Block 1,Goosegrass,Taraxacum officinale,178
10036184,Block 4,Foxtail,Convolvulus arvensis,270
10013339,Block 5,Goosegrass,Centaurea stoebe,342
10096420,Block 4,Crabgrass,Taraxacum officinale,28
10028142,Block 5,Bermudagrass,Digitaria sanguinalis,169
10054716,Block 2,Dock,Convolvulus arvensis,190
10057071,Block 2,Knapweed,Cirsium arvense,1
10048794,Block 2,Dock,Cynodon dactylon,224
10079828,Block 1,Foxtail,Rumex crispus,273
10050467,Block 4,Clover,Asclepias syriaca,99
10090063,Block 5,Clover,Trifolium repens,424
10034031,Block 4,Pigweed,Cynodon dactylon,102
10016725,Block 1,Knapweed,Amaranthus retroflexus,4
10091851,Block 1,Goosegrass,Stellaria media,485
10077565,Block 2,Bermudagrass,Asclepias syriaca,110
10082656,Block 1,Chickweed,Setaria faberi,132
10049143,Block 1,Quackgrass,Elymus repens,108
10000967,Block 2,Dock,Elymus repens,370
10093369,Block 1,Knapweed,Asclepias syriaca,85
10013825,Block 5,Plantain,Ambrosia artemisiifolia,382
10014590,Block 2,Foxtail,Asclepias syriaca,403
10027140,Block 5,Crabgrass,Centaurea stoebe,379
10089105,Block 3,Bermudagrass,Ambrosia artemisiifolia,22
10028790,Block 4,Knapweed,Cyperus esculentus,385
10009282,Block 2,Nutsedge,Stellaria media,428
10080216,Block 3,Plantain,Rumex crispus,377
10015058,Block 3,Clover,Amaranthus retroflexus,31
10018891,Block 4,Ragweed,Centaurea stoebe,131
10031638,Block 5,Chickweed,Rumex crispus,463
10011413,Block 4,Clover,Cirsium arvense,139
10062361,Block 4,Thistle,Digitaria sanguinalis,478
10059005,Block 1,Crabgrass,Centaurea stoebe,442
10048725,Block 1,Groundsel,Stellaria media,474
10041322,Block 3,Crabgrass,Stellaria media,151
10018871,Block 5,Chickweed,Setaria faberi,409
10021747,Block 5,Nutsedge,Senecio vulgaris,488
10042280,Block 3,Groundsel,Asclepias syriaca,359
10092263,Block 3,Foxtail,Amaranthus retroflexus,401
10004063,Block 4,Foxtail,Digitaria sanguinalis,269
10028684,Block 2,Dock,Stellaria media,169
10068012,Block 2,Lambsquarters,Rumex crispus,223
10029588,Block 4,Dock,Amaranthus retroflexus,41
10080419,Block 2,Milkweed,Cyperus esculentus,181
10091454,Block 4,Lambsquarters,Elymus repens,250
10023882,Block 1,Milkweed,Cyperus esculentus,43
10076524,Block 2,Plantain,Chenopodium album,294
10015728,Block 5,Nutsedge,Digitaria sanguinalis,335
10047599,Block 4,Bermudagrass,Senecio vulgaris,202
10063743,Block 5,Henbit,Senecio vulgaris,247
10053523,Block 2,Clover,Senecio vulgaris,75
10051563,Block 1,Ragweed,Rumex crispus,142
10004229,Block 4,Lambsquarters,Elymus repens,199
10012344,Block 2,Knapweed,Amaranthus retroflexus,244
10006318,Block 3,Bindweed,Eleusine indica,120
10010509,Block 2,Ragweed,Setaria faberi,355
10032808,Block 2,Ragweed,Plantago major,311
10071554,Block 3,Crabgrass,Digitaria sanguinalis,388
10036076,Block 4,Quackgrass,Digitaria sanguinalis,259
10018058,Block 3,Goosegrass,Ambrosia artemisiifolia,9
10086440,Block 4,Ragweed,Centaurea stoebe,379
10054905,Block 1,Knapweed,Senecio vulgaris,209
10085429,Block 4,Bindweed,Elymus repens,345
10065433,Block 4,Plantain,Setaria faberi,387
10050653,Block 3,Dock,Chenopodium album,40
10053965,Block 2,Bermudagrass,Lamium amplexicaule,166
10015989,Block 3,Quackgrass,Eleusine indica,280
10087899,Block 2,Plantain,Senecio vulgaris,498
10061221,Block 1,Knapweed,Cirsium arvense,125
10066178,Block 1,Knapweed,Digitaria sanguinalis,453
10088584,Block 3,Bermudagrass,Senecio vulgaris,328
10021511,Block 4,Bindweed,Rumex crispus,127
10088332,Block 2,Dock,Senecio vulgaris,50
10076506,Block 1,Lambsquarters,Eleusine indica,131
10071374,Block 3,Chickweed,Trifolium repens,196
10033331,Block 1,Thistle,Senecio vulgaris,69
10095598,Block 4,Foxtail,Cirsium arvense,197
10058149,Block 2,Nutsedge,Cirsium arvense,488
10023322,Block 5,Lambsquarters,Setaria faberi,445
10024911,Block 3,Milkweed,Setaria faberi,240
10078743,Block 1,Goosegrass,Elymus repens,211
10059291,Block 5,Thistle,Elymus repens,320
10056315,Block 4,Clover,Trifolium repens,400
10089821,Block 5,Goosegrass,Cyperus esculentus,296
10082492,Block 1,Nutsedge,Centaurea stoebe,293
10070629,Block 4,Goosegrass,Cyperus esculentus,92
10012688,Block 1,Quackgrass,Ambrosia artemisiifolia,376
10050058,Block 1,Knapweed,Plantago major,205
10063362,Block 5,Knapweed,Plantago major,403
10010683,Block 1,Goosegrass,Trifolium repens,465
10066583,Block 3,Ragweed,Cirsium arvense,54
10066986,Block 5,Pigweed,Cynodon dactylon,69
10053401,Block 4,Milkweed,Taraxacum officinale,108
10001243,Block 4,Dandelion,Cirsium arvense,83
10079041,Block 4,Lambsquarters,Amaranthus retroflexus,465
10086869,Block 5,Ragweed,Amaranthus retroflexus,201
10006566,Block 5,Foxtail,Plantago major,348
10058538,Block 2,Pigweed,Trifolium repens,434
10029644,Block 1,Pigweed,Trifolium repens,264
10006586,Block 1,Nutsedge,Plantago major,82
10055064,Block 1,Quackgrass,Ambrosia artemisiifolia,338
10029947,Block 2,Quackgrass,Eleusine indica,150
10043100,Block 2,Goosegrass,Setaria faberi,100
10025077,Block 1,Quackgrass,Stellaria media,297
10073355,Block 4,Dock,Plantago major,120
10020319,Block 4,Ragweed,Convolvulus arvensis,225
10061625,Block 1,Ragweed,Stellaria media,282
10015429,Block 1,Quackgrass,Ambrosia artemisiifolia,103
10096830,Block 3,Knapweed,Elymus repens,500
10014788,Block 2,Groundsel,Eleusine indica,487
10010399,Block 1,Foxtail,Cirsium arvense,185
10043951,Block 2,Crabgrass,Senecio vulgaris,167
10063478,Block 5,Nutsedge,Stellaria media,161
10048329,Block 1,Ragweed,Plantago major,359
10078034,Block 4,Chickweed,Ambrosia artemisiifolia,159
10045559,Block 5,Lambsquarters,Trifolium repens,175
10027722,Block 3,Chickweed,Cyperus esculentus,470
10039292,Block 5,Thistle,Amaranthus retroflexus,354
10009892,Block 2,Dandelion,Asclepias syriaca,42
10038079,Block 1,Quackgrass,Elymus repens,312
10013693,Block 2,Milkweed,Senecio vulgaris,197
10088198,Block 1,Henbit,Elymus repens,19
10045504,Block 4,Lambsquarters,Lamium amplexicaule,112
10093777,Block 2,Goosegrass,Cirsium arvense,14
10081915,Block 3,Milkweed,Rumex crispus,28
10038499,Block 5,Bermudagrass,Senecio vulgaris,314
10002057,Block 5,Henbit,Senecio vulgaris,348
10089435,Block 1,Clover,Cynodon dactylon,304
10092822,Block 4,Lambsquarters,Ambrosia artemisiifolia,496
10066466,Block 5,Lambsquarters,Rumex crispus,144
10024834,Block 4,Knapweed,Amaranthus retroflexus,44
10095255,Block 5,Henbit,Senecio vulgaris,103
10021448,Block 5,Knapweed,Elymus repens,454
10016915,Block 5,Nutsedge,Senecio vulgaris,235
10085036,Block 2,Crabgrass,Eleusine indica,156
10031898,Block 1,Foxtail,Rumex crispus,467
10003037,Block 4,Knapweed,Senecio vulgaris,78
10031855,Block 5,Henbit,Setaria faberi,83
10085792,Block 3,Bermudagrass,Taraxacum officinale,86
10036093,Block 4,Nutsedge,Digitaria sanguinalis,320
10075722,Block 3,Bindweed,Ambrosia artemisiifolia,123
10021891,Block 1,Lambsquarters,Rumex crispus,203
10016466,Block 2,Crabgrass,Asclepias syriaca,267
10022591,Block 1,Pigweed,Eleusine indica,116
10092227,Block 3,Dandelion,Asclepias syriaca,428
10088310,Block 2,Chickweed,Senecio vulgaris,172
10090378,Block 1,Thistle,Ambrosia artemisiifolia,347
10043245,Block 1,Milkweed,Stellaria media,223
10096651,Block 2,Plantain,Setaria faberi,4
10016240,Block 1,Pigweed,Digitaria sanguinalis,199
10092480,Block 1,Bindweed,Asclepias syriaca,321
10019395,Block 3,Quackgrass,Rumex crispus,418
10090864,Block 5,Crabgrass,Senecio vulgaris,133
10001712,Block 1,Bindweed,Trifolium repens,232
10025538,Block 5,Chickweed,Eleusine indica,455
10041022,Block 5,Clover,Taraxacum officinale,394
10016974,Block 3,Milkweed,Eleusine indica,262
10078782,Block 4,Lambsquarters,Digitaria sanguinalis,422
10059361,Block 4,Quackgrass,Senecio vulgaris,341
10052450,Block 4,Dandelion,Cirsium arvense,3
10080687,Block 4,Nutsedge,Taraxacum officinale,232
10059471,Block 5,Chickweed,Centaurea stoebe,98
10018363,Block 5,Foxtail,Ambrosia artemisiifolia,445
10092257,Block 3,Pigweed,Digitaria sanguinalis,9
10050217,Block 5,Foxtail,Cirsium arvense,132
10065202,Block 5,Knapweed,Plantago major,36
10022527,Block 5,Milkweed,Cynodon dactylon,357
10025218,Block 2,Lambsquarters,Plantago major,495
10041578,Block 5,Goosegrass,Stellaria media,29
10006477,Block 5,Chickweed,Stellaria media,6
10062550,Block 1,Thistle,Cynodon dactylon,250
10088479,Block 3,Dock,Rumex crispus,497
10018892,Block 5,Quackgrass,Cynodon dactylon,416
10001926,Block 2,Chickweed,Plantago major,253
10083748,Block 3,Foxtail,Centaurea stoebe,240
10040185,Block 4,Lambsquarters,Asclepias syriaca,132
10056689,Block 2,Lambsquarters,Stellaria media,129
10069806,Block 3,Clover,Chenopodium album,102
10060904,Block 2,Dandelion,Setaria faberi,154
10052558,Block 4,Pigweed,Plantago major,418
10044629,Block 2,Clover,Rumex crispus,24
10017893,Block 4,Crabgrass,Eleusine indica,334
10002635,Block 5,Crabgrass,Centaurea stoebe,39
10054273,Block 4,Ragweed,Cirsium arvense,416
10071992,Block 3,Plantain,Ambrosia artemisiifolia,402
10052217,Block 2,Clover,Eleusine indica,418
10089479,Block 2,Ragweed,Asclepias syriaca,58
10081981,Block 2,Bermudagrass,Senecio vulgaris,266
10019828,Block 3,Thistle,Taraxacum officinale,131
10045961,Block 5,Groundsel,Amaranthus retroflexus,23
10029184,Block 5,Ragweed,Stellaria media,363
10010667,Block 3,Goosegrass,Cyperus esculentus,259
10018174,Block 4,Ragweed,Cyperus esculentus,349
10051123,Block 3,Henbit,Convolvulus arvensis,322
10091311,Block 1,Groundsel,Cyperus esculentus,111
10080442,Block 5,Chickweed,Senecio vulgaris,312
10056208,Block 3,Pigweed,Eleusine indica,134
10053912,Block 5,Milkweed,Ambrosia artemisiifolia,30
10009546,Block 1,Lambsquarters,Eleusine indica,310
10057168,Block 3,Foxtail,Rumex crispus,313
10067887,Block 5,Bermudagrass,Stellaria media,76
10038899,Block 1,Nutsedge,Senecio vulgaris,417
10049487,Block 4,Knapweed,Amaranthus retroflexus,379
10060107,Block 4,Nutsedge,Plantago major,357
10000690,Block 4,Foxtail,Chenopodium album,299
10051945,Block 5,Lambsquarters,Ambrosia artemisiifolia,12
10033111,Block 1,Foxtail,Lamium amplexicaule,131
10017794,Block 2,Knapweed,Lamium amplexicaule,276
10071964,Block 1,Chickweed,Cirsium arvense,349
10065409,Block 4,Ragweed,Chenopodium album,403
10029874,Block 4,Lambsquarters,Asclepias syriaca,237
10021280,Block 5,Goosegrass,Senecio vulgaris,134
10014425,Block 2,Pigweed,Chenopodium album,321
10013957,Block 3,Crabgrass,Centaurea stoebe,128
10031637,Block 4,Plantain,Amaranthus retroflexus,196
10090709,Block 3,Bermudagrass,Lamium amplexicaule,217
10039621,Block 4,Crabgrass,Cirsium arvense,128
10017990,Block 5,Lambsquarters,Cynodon dactylon,241
10094707,Block 1,Goosegrass,Cyperus esculentus,149
10024195,Block 4,Bindweed,Cynodon dactylon,115
10081767,Block 5,Groundsel,Eleusine indica,8
10052894,Block 3,Foxtail,Ambrosia artemisiifolia,3
10008757,Block 3,Goosegrass,Senecio vulgaris,491
10045180,Block 3,Knapweed,Eleusine indica,166
10080624,Block 3,Milkweed,Elymus repens,125
10064275,Block 2,Nutsedge,Lamium amplexicaule,392
10097049,Block 3,Lambsquarters,Cynodon dactylon,141
10039290,Block 1,Dock,Plantago major,319
10008692,Block 1,Ragweed,Cirsium arvense,27
10094231,Block 4,Nutsedge,Senecio vulgaris,154
10091800,Block 1,Clover,Digitaria sanguinalis,204
10042293,Block 5,Ragweed,Cynodon dactylon,140
10016305,Block 2,Bindweed,Stellaria media,55
10014764,Block 3,Plantain,Rumex crispus,464
10001912,Block 2,Dock,Taraxacum officinale,71
10008974,Block 1,Lambsquarters,Plantago major,302
10059855,Block 2,Chickweed,Ambrosia artemisiifolia,220
10055657,Block 4,Pigweed,Rumex crispus,443
10071647,Block 3,Quackgrass,Plantago major,425
10045289,Block 4,Plantain,Rumex crispus,304
10038717,Block 5,Groundsel,Trifolium repens,448
10073327,Block 4,Pigweed,Rumex crispus,388
10021132,Block 2,Crabgrass,Chenopodium album,46
10018403,Block 2,Thistle,Taraxacum officinale,198
10075609,Block 3,Plantain,Digitaria sanguinalis,160
10021218,Block 3,Bindweed,Rumex crispus,367
10045712,Block 2,Nutsedge,Asclepias syriaca,331
10049796,Block 2,Bermudagrass,Stellaria media,306
10092316,Block 3,Milkweed,Setaria faberi,148
10072141,Block 1,Quackgrass,Centaurea stoebe,82
10005490,Block 5,Bermudagrass,Amaranthus retroflexus,245
10044879,Block 1,Thistle,Cynodon dactylon,57
10064650,Block 4,Groundsel,Amaranthus retroflexus,115
10067229,Block 3,Dock,Centaurea stoebe,61
10058579,Block 5,Milkweed,Trifolium repens,483
10017609,Block 4,Nutsedge,Taraxacum officinale,200
10086980,Block 2,Pigweed,Asclepias syriaca,423
10041701,Block 1,Thistle,Asclepias syriaca,208
10065595,Block 2,Crabgrass,Stellaria media,485
10039508,Block 2,Pigweed,Taraxacum officinale,312
10028417,Block 4,Dandelion,Digitaria sanguinalis,203
10050877,Block 3,Pigweed,Elymus repens,281
10009060,Block 3,Lambsquarters,Rumex crispus,84
10014904,Block 3,Groundsel,Cirsium arvense,353
10055441,Block 2,Milkweed,Setaria faberi,275
10056143,Block 2,Chickweed,Elymus repens,268
10065349,Block 1,Dock,Centaurea stoebe,116
10009594,Block 4,Pigweed,Amaranthus retroflexus,35
10014264,Block 5,Bindweed,Setaria faberi,220
10004009,Block 3,Knapweed,Asclepias syriaca,455
10074047,Block 2,Knapweed,Trifolium repens,92
10027456,Block 4,Goosegrass,Cyperus esculentus,166
10037212,Block 5,Knapweed,Chenopodium album,194
10028236,Block 5,Ragweed,Trifolium repens,37
10094369,Block 2,Dock,Cynodon dactylon,413
10068698,Block 4,Groundsel,Trifolium repens,174
10035964,Block 3,Foxtail,Cyperus esculentus,328
10003078,Block 4,Plantain,Plantago major,386
10008925,Block 3,Crabgrass,Setaria faberi,138
10069776,Block 5,Knapweed,Rumex crispus,280
10085170,Block 3,Milkweed,Stellaria media,90
10044008,Block 3,Quackgrass,Senecio vulgaris,392
10001164,Block 1,Foxtail,Lamium amplexicaule,208
10069003,Block 4,Milkweed,Plantago major,324
10030106,Block 5,Thistle,Cyperus esculentus,286
10050775,Block 2,Ragweed,Centaurea stoebe,334
10073347,Block 3,Bindweed,Elymus repens,317
10064856,Block 2,Pigweed,Asclepias syriaca,458
10063607,Block 5,Clover,Stellaria media,39
10063075,Block 3,Ragweed,Chenopodium album,369
10048418,Block 5,Chickweed,Convolvulus arvensis,338
10095909,Block 2,Milkweed,Taraxacum officinale,50
10015856,Block 1,Foxtail,Asclepias syriaca,248
10069217,Block 4,Thistle,Plantago major,113
10009105,Block 2,Chickweed,Trifolium repens,318
10089217,Block 1,Dock,Cirsium arvense,326
10011468,Block 4,Ragweed,Amaranthus retroflexus,198
10069921,Block 2,Foxtail,Chenopodium album,106
10005078,Block 1,Dock,Convolvulus arvensis,476
10037784,Block 5,Henbit,Digitaria sanguinalis,189
10077388,Block 4,Dock,Plantago major,329
10064953,Block 5,Henbit,Lamium amplexicaule,37
10071455,Block 1,Groundsel,Amaranthus retroflexus,118
10006018,Block 3,Pigweed,Setaria faberi,76
10085870,Block 3,Bermudagrass,Plantago major,289
10023710,Block 3,Bindweed,Eleusine indica,98
10027677,Block 3,Goosegrass,Cyperus esculentus,93
10088227,Block 4,Milkweed,Digitaria sanguinalis,381
10069774,Block 3,Thistle,Senecio vulgaris,470
10085089,Block 4,Goosegrass,Trifolium repens,149
10075585,Block 2,Plantain,Senecio vulgaris,366
10084166,Block 3,Plantain,Asclepias syriaca,277
10061911,Block 5,Bindweed,Plantago major,121
10064397,Block 5,Plantain,Senecio vulgaris,303
10026264,Block 4,Foxtail,Amaranthus retroflexus,221
10097296,Block 1,Bindweed,Digitaria sanguinalis,345
10086323,Block 3,Bindweed,Trifolium repens,267
10042039,Block 4,Bermudagrass,Stellaria media,26
10007398,Block 4,Ragweed,Lamium amplexicaule,382
10012827,Block 3,Nutsedge,Chenopodium album,439
10057914,Block 3,Groundsel,Trifolium repens,185
10035222,Block 4,Nutsedge,Stellaria media,5
10049633,Block 3,Plantain,Eleusine indica,334
10010999,Block 4,Nutsedge,Cyperus esculentus,470
10088453,Block 4,Milkweed,Convolvulus arvensis,470
10092549,Block 1,Dock,Centaurea stoebe,7
10068952,Block 5,Clover,Ambrosia artemisiifolia,170
10061414,Block 5,Henbit,Setaria faberi,292
10084578,Block 4,Clover,Taraxacum officinale,158
10047649,Block 5,Clover,Trifolium repens,139
10038202,Block 4,Thistle,Elymus repens,228
10046615,Block 5,Goosegrass,Elymus repens,222
10023809,Block 5,Ragweed,Digitaria sanguinalis,365
10097467,Block 2,Dock,Elymus repens,172
10079556,Block 1,Plantain,Digitaria sanguinalis,103
10043326,Block 4,Groundsel,Rumex crispus,328
10022406,Block 5,Pigweed,Senecio vulgaris,219
10048479,Block 5,Goosegrass,Plantago major,120
10068581,Block 1,Ragweed,Convolvulus arvensis,393
10069726,Block 2,Ragweed,Chenopodium album,313
10041949,Block 5,Bermudagrass,Rumex crispus,406
10023752,Block 4,Dock,Senecio vulgaris,112
10041893,Block 1,Lambsquarters,Lamium amplexicaule,422
10011603,Block 2,Dock,Trifolium repens,361
10047377,Block 5,Milkweed,Cirsium arvense,442
10092590,Block 3,Nutsedge,Chenopodium album,251
10061335,Block 3,Nutsedge,Stellaria media,408
10049515,Block 2,Bermudagrass,Rumex crispus,280
10008797,Block 1,Bermudagrass,Rumex crispus,272
10010973,Block 1,Knapweed,Lamium amplexicaule,382
10054224,Block 3,Quackgrass,Stellaria media,266
10056919,Block 5,Quackgrass,Stellaria media,15
10091700,Block 4,Bermudagrass,Ambrosia artemisiifolia,88
10053532,Block 3,Crabgrass,Rumex crispus,439
10066370,Block 5,Knapweed,Ambrosia artemisiifolia,366
10014364,Block 1,Ragweed,Digitaria sanguinalis,414
10051641,Block 5,Nutsedge,Setaria faberi,203
10094347,Block 2,Crabgrass,Rumex crispus,312
10046626,Block 5,Quackgrass,Convolvulus arvensis,108
10001230,Block 1,Bermudagrass,Lamium amplexicaule,77
10070348,Block 4,Goosegrass,Rumex crispus,57
10028578,Block 4,Pigweed,Stellaria media,271
10086218,Block 4,Nutsedge,Ambrosia artemisiifolia,237
10006598,Block 3,Goosegrass,Elymus repens,223
10063400,Block 4,Ragweed,Eleusine indica,272
10093677,Block 2,Dandelion,Stellaria media,334
10070624,Block 4,Foxtail,Convolvulus arvensis,134
10001929,Block 5,Foxtail,Cyperus esculentus,261
10083843,Block 1,Groundsel,Cynodon dactylon,444
10036408,Block 3,Plantain,Convolvulus arvensis,207
10060057,Block 2,Milkweed,Elymus repens,81
10015838,Block 5,Foxtail,Elymus repens,396
10097774,Block 4,Crabgrass,Digitaria sanguinalis,280
10085634,Block 4,Pigweed,Elymus repens,378
10067740,Block 5,Quackgrass,Taraxacum officinale,87
10006123,Block 3,Pigweed,Convolvulus arvensis,437
10000655,Block 2,Groundsel,Eleusine indica,217
10047756,Block 2,Clover,Cynodon dactylon,59
10094170,Block 5,Dock,Taraxacum officinale,28
10021481,Block 2,Bindweed,Cirsium arvense,235
10065959,Block 1,Quackgrass,Taraxacum officinale,293
10059857,Block 3,Henbit,Taraxacum officinale,375
10042882,Block 4,Knapweed,Centaurea stoebe,475
10037068,Block 4,Groundsel,Chenopodium album,316
10068352,Block 5,Groundsel,Chenopodium album,388
10069845,Block 5,Nutsedge,Asclepias syriaca,152
10080140,Block 2,Ragweed,Chenopodium album,88
10066924,Block 4,Bindweed,Amaranthus retroflexus,302
10035426,Block 5,Groundsel,Eleusine indica,31
10050778,Block 5,Goosegrass,Senecio vulgaris,291
10010068,Block 3,Lambsquarters,Stellaria media,144
10013267,Block 2,Plantain,Plantago major,130
10075290,Block 2,Milkweed,Ambrosia artemisiifolia,15
10002626,Block 2,Pigweed,Cynodon dactylon,445
10020708,Block 3,Nutsedge,Rumex crispus,249
10053492,Block 2,Chickweed,Digitaria sanguinalis,148
10050843,Block 1,Pigweed,Senecio vulgaris,348
10007690,Block 1,Goosegrass,Convolvulus arvensis,152
10038136,Block 3,Plantain,Amaranthus retroflexus,54
10015015,Block 3,Plantain,Rumex crispus,36
10079029,Block 3,Milkweed,Trifolium repens,404
10059859,Block 4,Dandelion,Trifolium repens,78
10081074,Block 3,Groundsel,Cirsium arvense,77
10074314,Block 1,Thistle,Setaria faberi,40
10078975,Block 4,Knapweed,Plantago major,208
