EntryID,Ecosystem,Common Name,Scientific Name,Count,Year
10037892,Agricultural Field,Chickweed,Trifolium repens,422,1996
10002791,Grassland,Pigweed,Cyperus esculentus,261,2007
10016208,Forest,Foxtail,Trifolium repens,162,1996
10014733,Grassland,Henbit,Plantago major,368,1994
10096848,Grassland,Ragweed,Taraxacum officinale,425,2009
10085473,Grassland,Groundsel,Taraxacum officinale,200,2005
10016185,Grassland,Crabgrass,Senecio vulgaris,337,1996
10089287,Agricultural Field,Lambsquarters,Amaranthus retroflexus,405,2012
10042206,Forest,Nutsedge,Plantago major,197,2007
10060004,Grassland,Thistle,Stellaria media,312,2008
10026937,Wetland,Plantain,Trifolium repens,146,2018
10088519,Forest,Plantain,Trifolium repens,88,2009
10078156,Urban,Crabgrass,Setaria faberi,451,2014
10056466,Forest,Crabgrass,Plantago major,411,2001
10000920,Wetland,Pigweed,Lamium amplexicaule,349,2017
10049281,Urban,Goosegrass,Taraxacum officinale,178,2004
10036184,Grassland,Foxtail,Convolvulus arvensis,270,2014
10013339,Wetland,Goosegrass,Centaurea stoebe,342,2005
10096420,Agricultural Field,Crabgrass,Taraxacum officinale,28,2015
10028142,Wetland,Bermudagrass,Digitaria sanguinalis,169,1999
10054716,Agricultural Field,Dock,Convolvulus arvensis,190,2014
10057071,Agricultural Field,Knapweed,Cirsium arvense,1,2005
10048794,Agricultural Field,Dock,Cynodon dactylon,224,2021
10079828,Grassland,Foxtail,Rumex crispus,273,2016
10050467,Grassland,Clover,Asclepias syriaca,99,2010
10090063,Grassland,Clover,Trifolium repens,424,1994
10034031,Wetland,Pigweed,Cynodon dactylon,102,2001
10016725,Urban,Knapweed,Amaranthus retroflexus,4,1999
10091851,Grassland,Goosegrass,Stellaria media,485,2000
10077565,Grassland,Bermudagrass,Asclepias syriaca,110,2019
10082656,Urban,Chickweed,Setaria faberi,132,2017
10049143,Grassland,Quackgrass,Elymus repens,108,2021
10000967,Grassland,Dock,Elymus repens,370,2008
10093369,Grassland,Knapweed,Asclepias syriaca,85,1999
10013825,Wetland,Plantain,Ambrosia artemisiifolia,382,1990
10014590,Forest,Foxtail,Asclepias syriaca,403,2014
10027140,Grassland,Crabgrass,Centaurea stoebe,379,1998
10089105,Agricultural Field,Bermudagrass,Ambrosia artemisiifolia,22,2004
10028790,Urban,Knapweed,Cyperus esculentus,385,2011
10009282,Urban,Nutsedge,Stellaria media,428,2005
10080216,Forest,Plantain,Rumex crispus,377,2005
10015058,Wetland,Clover,Amaranthus retroflexus,31,2005
10018891,Grassland,Ragweed,Centaurea stoebe,131,1998
10031638,Urban,Chickweed,Rumex crispus,463,2009
10011413,Agricultural Field,Clover,Cirsium arvense,139,2006
10062361,Wetland,Thistle,Digitaria sanguinalis,478,2002
10059005,Agricultural Field,Crabgrass,Centaurea stoebe,442,2009
10048725,Grassland,Groundsel,Stellaria media,474,2018
10041322,Forest,Crabgrass,Stellaria media,151,2012
10018871,Forest,Chickweed,Setaria faberi,409,2013
10021747,Grassland,Nutsedge,Senecio vulgaris,488,1991
10042280,Urban,Groundsel,Asclepias syriaca,359,1993
10092263,Agricultural Field,Foxtail,Amaranthus retroflexus,401,2009
10004063,Grassland,Foxtail,Digitaria sanguinalis,269,1997
10028684,Forest,Dock,Stellaria media,169,2023
10068012,Forest,Lambsquarters,Rumex crispus,223,2003
10029588,Agricultural Field,Dock,Amaranthus retroflexus,41,2008
10080419,Agricultural Field,Milkweed,Cyperus esculentus,181,2000
10091454,Forest,Lambsquarters,Elymus repens,250,1992
10023882,Grassland,Milkweed,Cyperus esculentus,43,2006
10076524,Urban,Plantain,Chenopodium album,294,1990
10015728,Grassland,Nutsedge,Digitaria sanguinalis,335,1993
10047599,Urban,Bermudagrass,Senecio vulgaris,202,2020
10063743,Agricultural Field,Henbit,Senecio vulgaris,247,1990
10053523,Wetland,Clover,Senecio vulgaris,75,1999
10051563,Wetland,Ragweed,Rumex crispus,142,2005
10004229,Agricultural Field,Lambsquarters,Elymus repens,199,1998
10012344,Agricultural Field,Knapweed,Amaranthus retroflexus,244,2020
10006318,Grassland,Bindweed,Eleusine indica,120,2009
10010509,Urban,Ragweed,Setaria faberi,355,1993
10032808,Agricultural Field,Ragweed,Plantago major,311,2008
10071554,Forest,Crabgrass,Digitaria sanguinalis,388,2005
10036076,Grassland,Quackgrass,Digitaria sanguinalis,259,2022
10018058,Agricultural Field,Goosegrass,Ambrosia artemisiifolia,9,2005
10086440,Forest,Ragweed,Centaurea stoebe,379,2003
10054905,Grassland,Knapweed,Senecio vulgaris,209,2016
10085429,Urban,Bindweed,Elymus repens,345,2008
10065433,Agricultural Field,Plantain,Setaria faberi,387,2011
10050653,Wetland,Dock,Chenopodium album,40,2014
10053965,Agricultural Field,Bermudagrass,Lamium amplexicaule,166,2017
10015989,Urban,Quackgrass,Eleusine indica,280,2007
10087899,Forest,Plantain,Senecio vulgaris,498,1999
10061221,Forest,Knapweed,Cirsium arvense,125,2007
10066178,Forest,Knapweed,Digitaria sanguinalis,453,2023
10088584,Grassland,Bermudagrass,Senecio vulgaris,328,1996
10021511,Grassland,Bindweed,Rumex crispus,127,2015
10088332,Urban,Dock,Senecio vulgaris,50,2003
10076506,Urban,Lambsquarters,Eleusine indica,131,2004
10071374,Forest,Chickweed,Trifolium repens,196,2000
10033331,Wetland,Thistle,Senecio vulgaris,69,2009
10095598,Grassland,Foxtail,Cirsium arvense,197,2021
10058149,Grassland,Nutsedge,Cirsium arvense,488,1999
10023322,Grassland,Lambsquarters,Setaria faberi,445,2022
10024911,Forest,Milkweed,Setaria faberi,240,2003
10078743,Wetland,Goosegrass,Elymus repens,211,1996
10059291,Grassland,Thistle,Elymus repens,320,1992
10056315,Urban,Clover,Trifolium repens,400,2018
10089821,Forest,Goosegrass,Cyperus esculentus,296,1991
10082492,Wetland,Nutsedge,Centaurea stoebe,293,2013
10070629,Agricultural Field,Goosegrass,Cyperus esculentus,92,2021
10012688,Grassland,Quackgrass,Ambrosia artemisiifolia,376,2003
10050058,Urban,Knapweed,Plantago major,205,2012
10063362,Forest,Knapweed,Plantago major,403,2020
10010683,Grassland,Goosegrass,Trifolium repens,465,1992
10066583,Forest,Ragweed,Cirsium arvense,54,2008
10066986,Wetland,Pigweed,Cynodon dactylon,69,2023
10053401,Grassland,Milkweed,Taraxacum officinale,108,1998
10001243,Forest,Dandelion,Cirsium arvense,83,2019
10079041,Forest,Lambsquarters,Amaranthus retroflexus,465,2002
10086869,Wetland,Ragweed,Amaranthus retroflexus,201,2018
10006566,Forest,Foxtail,Plantago major,348,1996
10058538,Forest,Pigweed,Trifolium repens,434,2005
10029644,Agricultural Field,Pigweed,Trifolium repens,264,1998
10006586,Urban,Nutsedge,Plantago major,82,2017
10055064,Grassland,Quackgrass,Ambrosia artemisiifolia,338,2013
10029947,Grassland,Quackgrass,Eleusine indica,150,2000
10043100,Urban,Goosegrass,Setaria faberi,100,2009
10025077,Grassland,Quackgrass,Stellaria media,297,1994
10073355,Forest,Dock,Plantago major,120,1994
10020319,Wetland,Ragweed,Convolvulus arvensis,225,1996
10061625,Wetland,Ragweed,Stellaria media,282,1994
10015429,Agricultural Field,Quackgrass,Ambrosia artemisiifolia,103,2009
10096830,Urban,Knapweed,Elymus repens,500,2003
10014788,Grassland,Groundsel,Eleusine indica,487,2006
10010399,Wetland,Foxtail,Cirsium arvense,185,1997
10043951,Agricultural Field,Crabgrass,Senecio vulgaris,167,2003
10063478,Forest,Nutsedge,Stellaria media,161,1999
10048329,Agricultural Field,Ragweed,Plantago major,359,2009
10078034,Agricultural Field,Chickweed,Ambrosia artemisiifolia,159,2007
10045559,Agricultural Field,Lambsquarters,Trifolium repens,175,2017
10027722,Wetland,Chickweed,Cyperus esculentus,470,2019
10039292,Urban,Thistle,Amaranthus retroflexus,354,2018
10009892,Urban,Dandelion,Asclepias syriaca,42,2005
10038079,Grassland,Quackgrass,Elymus repens,312,2003
10013693,Wetland,Milkweed,Senecio vulgaris,197,1990
10088198,Forest,Henbit,Elymus repens,19,2021
10045504,Urban,Lambsquarters,Lamium amplexicaule,112,2004
10093777,Wetland,Goosegrass,Cirsium arvense,14,2012
10081915,Agricultural Field,Milkweed,Rumex crispus,28,2003
10038499,Forest,Bermudagrass,Senecio vulgaris,314,1991
10002057,Wetland,Henbit,Senecio vulgaris,348,2023
10089435,Agricultural Field,Clover,Cynodon dactylon,304,1990
10092822,Agricultural Field,Lambsquarters,Ambrosia artemisiifolia,496,2017
10066466,Wetland,Lambsquarters,Rumex crispus,144,1992
10024834,Forest,Knapweed,Amaranthus retroflexus,44,1999
10095255,Grassland,Henbit,Senecio vulgaris,103,2000
10021448,Forest,Knapweed,Elymus repens,454,1991
10016915,Agricultural Field,Nutsedge,Senecio vulgaris,235,2008
10085036,Wetland,Crabgrass,Eleusine indica,156,2023
10031898,Forest,Foxtail,Rumex crispus,467,1992
10003037,Wetland,Knapweed,Senecio vulgaris,78,2018
10031855,Grassland,Henbit,Setaria faberi,83,1996
10085792,Urban,Bermudagrass,Taraxacum officinale,86,2022
10036093,Wetland,Nutsedge,Digitaria sanguinalis,320,1992
10075722,Wetland,Bindweed,Ambrosia artemisiifolia,123,2006
10021891,Grassland,Lambsquarters,Rumex crispus,203,2015
10016466,Wetland,Crabgrass,Asclepias syriaca,267,1991
10022591,Forest,Pigweed,Eleusine indica,116,2019
10092227,Forest,Dandelion,Asclepias syriaca,428,2010
10088310,Grassland,Chickweed,Senecio vulgaris,172,2003
10090378,Agricultural Field,Thistle,Ambrosia artemisiifolia,347,2010
10043245,Grassland,Milkweed,Stellaria media,223,2002
10096651,Forest,Plantain,Setaria faberi,4,1995
10016240,Agricultural Field,Pigweed,Digitaria sanguinalis,199,1997
10092480,Agricultural Field,Bindweed,Asclepias syriaca,321,1990
10019395,Urban,Quackgrass,Rumex crispus,418,2013
10090864,Grassland,Crabgrass,Senecio vulgaris,133,1998
10001712,Grassland,Bindweed,Trifolium repens,232,2014
10025538,Forest,Chickweed,Eleusine indica,455,1991
10041022,Wetland,Clover,Taraxacum officinale,394,1995
10016974,Grassland,Milkweed,Eleusine indica,262,1996
10078782,Urban,Lambsquarters,Digitaria sanguinalis,422,1992
10059361,Forest,Quackgrass,Senecio vulgaris,341,2001
10052450,Grassland,Dandelion,Cirsium arvense,3,2009
10080687,Grassland,Nutsedge,Taraxacum officinale,232,1991
10059471,Agricultural Field,Chickweed,Centaurea stoebe,98,2016
10018363,Urban,Foxtail,Ambrosia artemisiifolia,445,2001
10092257,Urban,Pigweed,Digitaria sanguinalis,9,2009
10050217,Agricultural Field,Foxtail,Cirsium arvense,132,2002
10065202,Wetland,Knapweed,Plantago major,36,1995
10022527,Forest,Milkweed,Cynodon dactylon,357,2005
10025218,Wetland,Lambsquarters,Plantago major,495,2006
10041578,Wetland,Goosegrass,Stellaria media,29,2011
10006477,Urban,Chickweed,Stellaria media,6,2004
10062550,Grassland,Thistle,Cynodon dactylon,250,2000
10088479,Forest,Dock,Rumex crispus,497,2001
10018892,Grassland,Quackgrass,Cynodon dactylon,416,2000
10001926,Wetland,Chickweed,Plantago major,253,1994
10083748,Urban,Foxtail,Centaurea stoebe,240,2013
10040185,Urban,Lambsquarters,Asclepias syriaca,132,2008
10056689,Urban,Lambsquarters,Stellaria media,129,1999
10069806,Grassland,Clover,Chenopodium album,102,2010
10060904,Grassland,Dandelion,Setaria faberi,154,2015
10052558,Grassland,Pigweed,Plantago major,418,2011
10044629,Grassland,Clover,Rumex crispus,24,1995
10017893,Grassland,Crabgrass,Eleusine indica,334,1994
10002635,Forest,Crabgrass,Centaurea stoebe,39,2011
10054273,Agricultural Field,Ragweed,Cirsium arvense,416,1993
10071992,Grassland,Plantain,Ambrosia artemisiifolia,402,1994
10052217,Wetland,Clover,Eleusine indica,418,1993
10089479,Grassland,Ragweed,Asclepias syriaca,58,1994
10081981,Agricultural Field,Bermudagrass,Senecio vulgaris,266,1992
10019828,Forest,Thistle,Taraxacum officinale,131,2001
10045961,Agricultural Field,Groundsel,Amaranthus retroflexus,23,2007
10029184,Agricultural Field,Ragweed,Stellaria media,363,1992
10010667,Grassland,Goosegrass,Cyperus esculentus,259,2004
10018174,Grassland,Ragweed,Cyperus esculentus,349,1995
10051123,Agricultural Field,Henbit,Convolvulus arvensis,322,1996
10091311,Grassland,Groundsel,Cyperus esculentus,111,1991
10080442,Urban,Chickweed,Senecio vulgaris,312,1998
10056208,Forest,Pigweed,Eleusine indica,134,1996
10053912,Urban,Milkweed,Ambrosia artemisiifolia,30,1990
10009546,Urban,Lambsquarters,Eleusine indica,310,2019
10057168,Forest,Foxtail,Rumex crispus,313,2007
10067887,Grassland,Bermudagrass,Stellaria media,76,1991
10038899,Agricultural Field,Nutsedge,Senecio vulgaris,417,2018
10049487,Grassland,Knapweed,Amaranthus retroflexus,379,1999
10060107,Agricultural Field,Nutsedge,Plantago major,357,2008
10000690,Urban,Foxtail,Chenopodium album,299,2004
10051945,Forest,Lambsquarters,Ambrosia artemisiifolia,12,1990
10033111,Agricultural Field,Foxtail,Lamium amplexicaule,131,1992
10017794,Wetland,Knapweed,Lamium amplexicaule,276,2018
10071964,Forest,Chickweed,Cirsium arvense,349,2001
10065409,Wetland,Ragweed,Chenopodium album,403,2016
10029874,Grassland,Lambsquarters,Asclepias syriaca,237,2017
10021280,Agricultural Field,Goosegrass,Senecio vulgaris,134,2016
10014425,Agricultural Field,Pigweed,Chenopodium album,321,2003
10013957,Wetland,Crabgrass,Centaurea stoebe,128,1991
10031637,Urban,Plantain,Amaranthus retroflexus,196,1997
10090709,Urban,Bermudagrass,Lamium amplexicaule,217,2004
10039621,Urban,Crabgrass,Cirsium arvense,128,2002
10017990,Urban,Lambsquarters,Cynodon dactylon,241,2022
10094707,Forest,Goosegrass,Cyperus esculentus,149,1996
10024195,Urban,Bindweed,Cynodon dactylon,115,2008
10081767,Grassland,Groundsel,Eleusine indica,8,2015
10052894,Urban,Foxtail,Ambrosia artemisiifolia,3,2004
10008757,Urban,Goosegrass,Senecio vulgaris,491,1993
10045180,Grassland,Knapweed,Eleusine indica,166,1999
10080624,Urban,Milkweed,Elymus repens,125,1991
10064275,Urban,Nutsedge,Lamium amplexicaule,392,2017
10097049,Wetland,Lambsquarters,Cynodon dactylon,141,2009
10039290,Agricultural Field,Dock,Plantago major,319,1996
10008692,Wetland,Ragweed,Cirsium arvense,27,2001
10094231,Wetland,Nutsedge,Senecio vulgaris,154,2011
10091800,Agricultural Field,Clover,Digitaria sanguinalis,204,2001
10042293,Agricultural Field,Ragweed,Cynodon dactylon,140,2007
10016305,Forest,Bindweed,Stellaria media,55,2018
10014764,Urban,Plantain,Rumex crispus,464,2012
10001912,Forest,Dock,Taraxacum officinale,71,1993
10008974,Forest,Lambsquarters,Plantago major,302,2012
10059855,Forest,Chickweed,Ambrosia artemisiifolia,220,1994
10055657,Agricultural Field,Pigweed,Rumex crispus,443,2007
10071647,Urban,Quackgrass,Plantago major,425,2001
10045289,Grassland,Plantain,Rumex crispus,304,2009
10038717,Wetland,Groundsel,Trifolium repens,448,2017
10073327,Wetland,Pigweed,Rumex crispus,388,1996
10021132,Grassland,Crabgrass,Chenopodium album,46,1992
10018403,Forest,Thistle,Taraxacum officinale,198,2010
10075609,Agricultural Field,Plantain,Digitaria sanguinalis,160,1992
10021218,Wetland,Bindweed,Rumex crispus,367,2002
10045712,Agricultural Field,Nutsedge,Asclepias syriaca,331,1999
10049796,Urban,Bermudagrass,Stellaria media,306,2000
10092316,Grassland,Milkweed,Setaria faberi,148,2015
10072141,Agricultural Field,Quackgrass,Centaurea stoebe,82,2015
10005490,Wetland,Bermudagrass,Amaranthus retroflexus,245,1997
10044879,Grassland,Thistle,Cynodon dactylon,57,1996
10064650,Forest,Groundsel,Amaranthus retroflexus,115,2011
10067229,Urban,Dock,Centaurea stoebe,61,1990
10058579,Agricultural Field,Milkweed,Trifolium repens,483,2020
10017609,Forest,Nutsedge,Taraxacum officinale,200,1995
10086980,Agricultural Field,Pigweed,Asclepias syriaca,423,2023
10041701,Agricultural Field,Thistle,Asclepias syriaca,208,2000
10065595,Agricultural Field,Crabgrass,Stellaria media,485,2003
10039508,Grassland,Pigweed,Taraxacum officinale,312,2006
10028417,Grassland,Dandelion,Digitaria sanguinalis,203,2021
10050877,Urban,Pigweed,Elymus repens,281,1990
10009060,Urban,Lambsquarters,Rumex crispus,84,1993
10014904,Forest,Groundsel,Cirsium arvense,353,2023
10055441,Wetland,Milkweed,Setaria faberi,275,1999
10056143,Agricultural Field,Chickweed,Elymus repens,268,1993
10065349,Wetland,Dock,Centaurea stoebe,116,2018
10009594,Forest,Pigweed,Amaranthus retroflexus,35,2022
10014264,Agricultural Field,Bindweed,Setaria faberi,220,2002
10004009,Grassland,Knapweed,Asclepias syriaca,455,2000
10074047,Grassland,Knapweed,Trifolium repens,92,2020
10027456,Agricultural Field,Goosegrass,Cyperus esculentus,166,2006
10037212,Urban,Knapweed,Chenopodium album,194,2000
10028236,Urban,Ragweed,Trifolium repens,37,2004
10094369,Urban,Dock,Cynodon dactylon,413,2020
10068698,Grassland,Groundsel,Trifolium repens,174,2018
10035964,Wetland,Foxtail,Cyperus esculentus,328,2022
10003078,Urban,Plantain,Plantago major,386,1998
10008925,Agricultural Field,Crabgrass,Setaria faberi,138,2004
10069776,Grassland,Knapweed,Rumex crispus,280,2008
10085170,Wetland,Milkweed,Stellaria media,90,2011
10044008,Urban,Quackgrass,Senecio vulgaris,392,2008
10001164,Forest,Foxtail,Lamium amplexicaule,208,1994
10069003,Grassland,Milkweed,Plantago major,324,2020
10030106,Urban,Thistle,Cyperus esculentus,286,2002
10050775,Wetland,Ragweed,Centaurea stoebe,334,2012
10073347,Agricultural Field,Bindweed,Elymus repens,317,2009
10064856,Grassland,Pigweed,Asclepias syriaca,458,2004
10063607,Wetland,Clover,Stellaria media,39,2017
10063075,Wetland,Ragweed,Chenopodium album,369,1998
10048418,Forest,Chickweed,Convolvulus arvensis,338,2017
10095909,Agricultural Field,Milkweed,Taraxacum officinale,50,2020
10015856,Forest,Foxtail,Asclepias syriaca,248,2018
10069217,Grassland,Thistle,Plantago major,113,2022
10009105,Agricultural Field,Chickweed,Trifolium repens,318,1993
10089217,Wetland,Dock,Cirsium arvense,326,2012
10011468,Wetland,Ragweed,Amaranthus retroflexus,198,2003
10069921,Grassland,Foxtail,Chenopodium album,106,2013
10005078,Urban,Dock,Convolvulus arvensis,476,1993
10037784,Agricultural Field,Henbit,Digitaria sanguinalis,189,2014
10077388,Urban,Dock,Plantago major,329,1995
10064953,Agricultural Field,Henbit,Lamium amplexicaule,37,2016
10071455,Urban,Groundsel,Amaranthus retroflexus,118,1999
10006018,Forest,Pigweed,Setaria faberi,76,2002
10085870,Grassland,Bermudagrass,Plantago major,289,1991
10023710,Urban,Bindweed,Eleusine indica,98,2010
10027677,Wetland,Goosegrass,Cyperus esculentus,93,1993
10088227,Wetland,Milkweed,Digitaria sanguinalis,381,1991
10069774,Grassland,Thistle,Senecio vulgaris,470,2001
10085089,Agricultural Field,Goosegrass,Trifolium repens,149,2013
10075585,Agricultural Field,Plantain,Senecio vulgaris,366,2022
10084166,Forest,Plantain,Asclepias syriaca,277,1999
10061911,Wetland,Bindweed,Plantago major,121,2021
10064397,Wetland,Plantain,Senecio vulgaris,303,1999
10026264,Forest,Foxtail,Amaranthus retroflexus,221,2014
10097296,Grassland,Bindweed,Digitaria sanguinalis,345,2020
10086323,Agricultural Field,Bindweed,Trifolium repens,267,2010
10042039,Urban,Bermudagrass,Stellaria media,26,2012
10007398,Forest,Ragweed,Lamium amplexicaule,382,2017
10012827,Forest,Nutsedge,Chenopodium album,439,2017
10057914,Wetland,Groundsel,Trifolium repens,185,2006
10035222,Agricultural Field,Nutsedge,Stellaria media,5,2005
10049633,Agricultural Field,Plantain,Eleusine indica,334,2002
10010999,Urban,Nutsedge,Cyperus esculentus,470,2001
10088453,Urban,Milkweed,Convolvulus arvensis,470,2003
10092549,Agricultural Field,Dock,Centaurea stoebe,7,2020
10068952,Urban,Clover,Ambrosia artemisiifolia,170,1997
10061414,Forest,Henbit,Setaria faberi,292,2019
10084578,Grassland,Clover,Taraxacum officinale,158,2010
10047649,Urban,Clover,Trifolium repens,139,2020
10038202,Agricultural Field,Thistle,Elymus repens,228,2012
10046615,Urban,Goosegrass,Elymus repens,222,2003
10023809,Wetland,Ragweed,Digitaria sanguinalis,365,1993
10097467,Forest,Dock,Elymus repens,172,2013
10079556,Grassland,Plantain,Digitaria sanguinalis,103,2019
10043326,Wetland,Groundsel,Rumex crispus,328,2008
10022406,Forest,Pigweed,Senecio vulgaris,219,2010
10048479,Urban,Goosegrass,Plantago major,120,2023
10068581,Forest,Ragweed,Convolvulus arvensis,393,2002
10069726,Agricultural Field,Ragweed,Chenopodium album,313,2001
10041949,Grassland,Bermudagrass,Rumex crispus,406,2008
10023752,Grassland,Dock,Senecio vulgaris,112,1995
10041893,Agricultural Field,Lambsquarters,Lamium amplexicaule,422,2013
10011603,Wetland,Dock,Trifolium repens,361,2020
10047377,Forest,Milkweed,Cirsium arvense,442,1997
10092590,Wetland,Nutsedge,Chenopodium album,251,2011
10061335,Forest,Nutsedge,Stellaria media,408,2009
10049515,Wetland,Bermudagrass,Rumex crispus,280,2009
